YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
201909,140030,842708,1,3.49,"S","GILCHRIST",45.42,-95.34,4525200,9520400
201909,140030,842709,1,0,"N","BROOTEN",45.5,-95.12,4530000,957200
201909,140030,842710,1,0,"N","NEW LONDON",45.3,-94.95,4518000,9457000
201909,140030,842711,1,0,"N","BELGRADE",45.45,-95,4527000,9500
201909,140030,842712,1,.69,"N","MONTGOMERY",44.44,-93.58,4426400,9334800
201909,140030,842713,1,1.47,"NNE","MORRISTOWN",44.25,-93.44,4415000,9326400
201909,140030,842714,1,0,"N","(AXN)CHNDLR FLD ALXN",45.87,-95.4,4552200,9524000
201909,140030,842716,1,1.38,"N","RICE",45.77,-94.23,4546200,9413800
201909,140030,842718,1,2.84,"SE","LUXEMBURG",45.42,-94.21,4525200,9412600
201909,140030,842719,1,.97,"E","(STC)ST CLOUD REGIONAL AIRPORT",45.55,-94.05,4533000,943000
201909,140030,842720,1,.85,"SE","HOWARD LAKE",45.06,-94.07,453600,944200
201909,140030,842721,1,1.69,"SE","OTSEGO",45.26,-93.58,4515600,9334800
201909,140030,842722,1,4.26,"SSW","ST AUGUSTA",45.42,-94.17,4525200,9410200
201909,140030,842724,1,1.06,"WSW","LITTLE FALLS",45.9737,-94.3901,4558422,9423406
201909,140030,842724,2,1.14,"E","LITTLE FALLS",45.9807,-94.3463,4558842,9420778
201909,140030,842725,1,.69,"S","PIERZ",45.97,-94.1,4558200,946000
201909,140030,842727,1,.79,"E","PRINCETON",45.5705,-93.5836,4534230,9335016
201909,140030,842727,2,2.05,"ENE","PRINCETON",45.58,-93.56,4534800,9333600
201909,140030,842728,1,1.09,"W","ANDOVER",45.2288,-93.3224,4513728,9319344
201909,140030,842728,2,1.7,"ENE","ANDOVER",45.2397,-93.2679,4514382,9316074
201909,140030,842729,1,.11,"SE","COON RAPIDS",45.1689,-93.3185,4510134,9319110
201909,140030,842729,2,1.13,"WSW","BLAINE",45.1717,-93.2399,4510302,9314394
201909,140030,842731,1,1.81,"NNE","CIRCLE PINES",45.1751,-93.1594,4510506,939564
201909,140030,842731,2,2.07,"NNE","LINO LAKES",45.1975,-93.1032,4511850,936192
201909,140030,842732,1,.44,"NNE","WHITE BEAR LAKE",45.0859,-93.0166,455154,93996
201909,140030,842732,2,1.47,"NE","WHITE BEAR LAKE",45.0939,-92.9972,455634,9259832
201909,140030,842851,1,2.02,"SW","HOWARD LAKE",45.0516,-94.1122,453096,946732
201909,140030,842851,2,1.43,"SSW","HOWARD LAKE",45.0508,-94.091,453048,945460
201909,140030,842855,1,2.86,"E","WATERTOWN",44.9632,-93.7922,4457792,9347532
201909,140030,842855,2,4.18,"ESE","WATERTOWN",44.9568,-93.7665,4457408,9345990
201909,140030,842856,1,3.29,"W","MINNETRISTA",44.9568,-93.7665,4457408,9345990
201904,134470,805674,1,.91,"SW","DAISETTA",30.11,-94.64,306600,9438400
201904,134477,805756,1,0,"N","LAKEVIEW",34.67,-100.7,3440200,10042000
201904,134477,805756,2,.89,"NW","MEMPHIS",34.73,-100.54,3443800,10032400
201904,134477,805762,1,14.77,"W","LOCO",34.72,-100.41,3443200,10024600
201904,134477,805762,2,3.18,"S","ARLIE",34.6741,-100.083,3440446,1004980
201904,134509,805931,1,5.58,"NNW","PAIGE",36.25,-119.47,3615000,11928200
201904,134509,805933,1,0,"N","LEMOORE",36.3,-119.78,3618000,11946800
201904,134513,805987,1,8.93,"ENE","JUSTICEBURG",33.06,-101.05,333600,1013000
